game_type,player1,player2,winner,seed,game_time
othello,mctsrave1000,mctsstrategy1000(mobility_strategy),2,22025001,1220.2931876182556
othello,mctsrave1000,mctsstrategy1000(mobility_strategy_vs),2,22025001,2118.681715965271
othello,mcts5000,mctsstrategy10000(mobility_strategy),2,22025001,10614.814832925797
othello,mctsrave2000,mcts1000,1,22025001,469.56192278862
othello,mctsrave2000,mcts2000,2,22025001,620.4405128955841
othello,mctsrave2000,mctsrave1000,1,22025001,464.6369023323059
othello,mctsrave2000,mcts5000,2,22025001,1073.8968691825867
othello,mctsrave1000,mctsstrategy2000(mobility_strategy),2,22025001,2302.7336056232452
othello,mctsrave2000,mctsrave2000,1,22025001,644.6351444721222
othello,mctsrave1000,mctsstrategy2000(mobility_strategy_vs),2,22025001,3866.4612424373627
othello,mcts10000,mctsstrategy5000(mobility_strategy),1,22025001,6672.567014694214
othello,mctsrave2000,random_strategy,1,22025001,323.259667634964
othello,mctsrave2000,mobility_strategy_vs,2,22025001,306.8512818813324
othello,mctsrave2000,mobility_strategy,1,22025001,307.87512254714966
othello,mctsrave2000,mcts10000,2,22025001,1838.2138710021973
othello,mctsrave2000,mctsrave5000,2,22025001,1073.7273199558258
othello,mcts1000,mctsstrategy10000(mobility_strategy_vs),2,22025001,18317.76563358307
othello,mctsrave2000,mctsrave10000,2,22025001,1778.676968574524
othello,mctsrave2000,mctsstrategy1000(mobility_strategy),2,22025001,1429.7219376564026
othello,mcts2000,mctsstrategy10000(mobility_strategy_vs),2,22025001,18276.859212875366
othello,mctsrave2000,mctsstrategy1000(mobility_strategy_vs),1,22025001,2157.928819656372
othello,mctsrave2000,mctsstrategy2000(mobility_strategy),2,22025001,2412.5327908992767
othello,mctsrave5000,mcts1000,2,22025001,947.2036197185516
othello,mctsrave1000,mctsstrategy5000(mobility_strategy),2,22025001,5537.18981552124
othello,mcts10000,mctsstrategy5000(mobility_strategy_vs),2,22025001,10619.039323091507
othello,mctsrave5000,mcts2000,2,22025001,1079.465758562088
othello,mctsrave5000,mctsrave1000,1,22025001,918.8097901344299
othello,mctsrave5000,mctsrave2000,2,22025001,1091.066115140915
othello,mctsrave2000,mctsstrategy2000(mobility_strategy_vs),2,22025001,4216.420250892639
othello,mctsrave5000,mcts5000,2,22025001,1496.095195531845
othello,mcts10000,mctsstrategy10000(mobility_strategy),2,22025001,11393.374237775803
othello,mctsrave5000,mctsrave5000,1,22025001,1555.7557771205902
othello,mctsrave5000,random_strategy,1,22025001,804.8540852069855
othello,mctsrave5000,mobility_strategy_vs,1,22025001,757.8063101768494
othello,mctsrave5000,mobility_strategy,1,22025001,709.3799450397491
othello,mctsrave5000,mcts10000,2,22025001,2245.224822998047
othello,mctsrave1000,mctsstrategy5000(mobility_strategy_vs),2,22025001,9333.707024097443
othello,mctsrave5000,mctsrave10000,1,22025001,2274.831783771515
othello,mctsrave2000,mctsstrategy5000(mobility_strategy),2,22025001,5616.007694482803
othello,mctsrave5000,mctsstrategy1000(mobility_strategy),2,22025001,1832.4935956001282
othello,mctsrave1000,mctsstrategy10000(mobility_strategy),2,22025001,9916.702539920807
othello,mctsrave5000,mctsstrategy1000(mobility_strategy_vs),2,22025001,2738.6473846435547
othello,mcts5000,mctsstrategy10000(mobility_strategy_vs),2,22025001,20314.164982795715
othello,mctsrave5000,mctsstrategy2000(mobility_strategy),2,22025001,2937.53378534317
othello,mctsrave10000,mcts1000,2,22025001,1705.1980502605438
othello,mctsrave10000,mcts2000,2,22025001,1797.5341336727142
othello,mctsrave2000,mctsstrategy5000(mobility_strategy_vs),2,22025001,8663.055708646774
othello,mctsrave10000,mctsrave1000,1,22025001,1718.4065017700195
othello,mctsrave10000,mcts5000,2,22025001,2318.6274037361145
othello,mctsrave5000,mctsstrategy2000(mobility_strategy_vs),2,22025001,4859.377871274948
othello,mctsrave10000,mctsrave2000,1,22025001,1796.6736476421356
othello,mctsrave10000,mcts10000,2,22025001,3004.799750804901
othello,mctsrave10000,random_strategy,1,22025001,1521.1144251823425
othello,mctsrave10000,mobility_strategy_vs,1,22025001,1497.4115717411041
othello,mctsrave10000,mctsrave5000,2,22025001,2269.686099290848
othello,mctsrave5000,mctsstrategy5000(mobility_strategy),2,22025001,5866.481905460358
othello,mctsrave10000,mobility_strategy,1,22025001,1455.5267219543457
othello,mctsrave10000,mctsrave10000,1,22025001,2942.0562562942505
othello,random_strategy,mcts1000,2,22025001,150.95319771766663
othello,mctsrave2000,mctsstrategy10000(mobility_strategy),2,22025001,10349.558934688568
othello,random_strategy,mcts2000,2,22025001,303.22682547569275
othello,random_strategy,mcts5000,2,22025001,752.9941253662109
othello,random_strategy,mctsrave1000,2,22025001,153.5542118549347
othello,mctsrave10000,mctsstrategy1000(mobility_strategy_vs),2,22025001,3406.5216991901398
othello,mctsrave10000,mctsstrategy1000(mobility_strategy),1,22025001,2523.5068576335907
othello,random_strategy,mctsrave2000,2,22025001,302.9971454143524
othello,random_strategy,random_strategy,2,22025001,0.03124213218688965
othello,random_strategy,mobility_strategy_vs,2,22025001,0.14059138298034668
othello,random_strategy,mobility_strategy,2,22025001,0.09372806549072266
othello,random_strategy,mcts10000,2,22025001,1477.6930639743805
