game_type,player1,player2,winner,seed
othello,mctsrave1000,random,1,22021113
othello,alphabeta3,mcts1000,2,22021144
hex,mctsstrategies1000(random_strategy:mobility_strategy),random,2,22021083
othello,mapbaseheuothello,mctsstrategies1000(random_strategy:mobility_strategy),1,22021073
othello,greedy,mctsstrategies1000(random_strategy:mobility_strategy),2,22021072
othello,mcts1000,random,2,22021140
othello,mctsrave1000,mctsstrategies1000(random_strategy:mobility_strategy),2,22021094
othello,mcts1000,mctsstrategy1000(random_strategy),2,22021096
othello,greedy,mapbaseheuothello,2,22021163
hex,alphabeta3,random,1,22021117
hex,alphabeta3,alphabeta3,2,22021098
hex,alphabeta3,mcts1000,1,22021086
hex,alphabeta3,mctsstrategies1000(random_strategy:mobility_strategy),2,22021081
othello,alphabeta3,mctsstrategies1000(random_strategy:mobility_strategy),2,22021155
hex,mcts1000,random,1,22021135
othello,mapbaseheuothello,mctsstrategies1000(random_strategy:mobility_strategy),1,22021084
othello,mctsstrategies1000(random_strategy:mobility_strategy),mcts1000,2,22021108
othello,mctsrave1000,mctsrave1000,2,22021162
othello,mcts1000,mctsstrategy1000(random_strategy),2,22021112
othello,mapbaseheuothello,mapbaseheuothello,0,22021145
othello,random,mctsstrategy1000(random_strategy),2,22021110
othello,mctsrave1000,mctsrave1000,2,22021093
othello,mctsstrategies1000(random_strategy:mobility_strategy),mctsstrategy1000(random_strategy),2,22021158
othello,mcts1000,random,2,22021150
othello,mcts1000,mctsstrategies1000(random_strategy:mobility_strategy),2,22021167
hex,mctsstrategy1000(random_strategy),random,2,22021169
othello,mctsrave1000,mctsstrategies1000(random_strategy:mobility_strategy),2,22021071
othello,mctsstrategies1000(random_strategy:mobility_strategy),mctsrave1000,2,22021139
othello,random,mctsstrategies1000(random_strategy:mobility_strategy),2,22021097
hex,random,mctsstrategy1000(random_strategy),1,22021157
othello,mctsstrategies1000(random_strategy:mobility_strategy),alphabeta3,2,22021093
othello,random,greedy,1,22021114
othello,alphabeta3,mctsstrategy1000(random_strategy),2,22021121
othello,greedy,mctsstrategies1000(random_strategy:mobility_strategy),2,22021142
othello,mctsstrategy1000(random_strategy),mctsstrategy1000(random_strategy),2,22021098
hex,mcts1000,random,2,22021110
othello,mctsrave1000,mctsstrategy1000(random_strategy),2,22021152
othello,mapbaseheuothello,mctsrave1000,2,22021118
othello,mctsstrategy1000(random_strategy),mcts1000,2,22021121
hex,alphabeta3,mcts1000,1,22021148
othello,greedy,random,2,22021114
othello,mcts1000,mapbaseheuothello,2,22021127
othello,mapbaseheuothello,mapbaseheuothello,1,22021116
hex,random,mctsstrategies1000(random_strategy:mobility_strategy),1,22021109
othello,mcts1000,mctsrave1000,2,22021112
hex,random,mctsstrategies1000(random_strategy:mobility_strategy),1,22021071
hex,random,mcts1000,2,22021100
hex,random,mctsstrategies1000(random_strategy:mobility_strategy),2,22021148
othello,alphabeta3,mctsrave1000,1,22021127
othello,alphabeta3,mapbaseheuothello,2,22021137
hex,mctsstrategy1000(random_strategy),random,2,22021110
hex,alphabeta3,mcts1000,1,22021119
othello,mctsstrategy1000(random_strategy),alphabeta3,2,22021127
hex,random,random,1,22021123
othello,mctsstrategies1000(random_strategy:mobility_strategy),mcts1000,2,22021153
hex,random,mcts1000,2,22021122
othello,mctsstrategies1000(random_strategy:mobility_strategy),mcts1000,2,22021073
othello,alphabeta3,mapbaseheuothello,2,22021119
othello,mapbaseheuothello,mctsstrategy1000(random_strategy),2,22021163
othello,alphabeta3,alphabeta3,2,22021159
othello,mctsstrategies1000(random_strategy:mobility_strategy),mapbaseheuothello,2,22021129
hex,random,mcts1000,2,22021094
othello,mctsstrategies1000(random_strategy:mobility_strategy),greedy,1,22021111
hex,alphabeta3,random,1,22021081
hex,random,mctsstrategies1000(random_strategy:mobility_strategy),2,22021131
othello,mctsrave1000,mctsstrategies1000(random_strategy:mobility_strategy),2,22021081
hex,random,mctsstrategy1000(random_strategy),2,22021107
othello,mctsstrategies1000(random_strategy:mobility_strategy),mcts1000,2,22021132
hex,random,mcts1000,1,22021111
othello,random,mcts1000,2,22021108
hex,alphabeta3,mcts1000,1,22021154
